atomCount,hydrogenCount,rotatablebondCount,NHA,molecularpolarizability,donorCount,label
50,23,6,27,40.3,3,1
40,21,6,19,31.0,0,1
43,22,4,21,34.51,0,1
58,27,5,31,46.81,2,1
86,41,2,45,67.62,2,1
26,16,5,10,16.29,1,1
66,32,7,34,51.32,1,1
140,65,19,75,107.31,14,1
47,27,5,20,32.62,1,1
71,38,14,33,51.77,0,1
117,58,10,59,88.07,3,1
116,56,10,60,88.23,3,1
39,16,4,23,33.59,1,1
33,14,3,19,24.22,3,1
49,21,3,28,44.1,1,1
46,23,3,23,35.46,0,1
51,25,12,26,35.29,6,0
54,23,6,31,41.58,3,0
44,16,6,28,35.61,7,0
143,76,11,67,99.15,4,0
127,67,28,60,87.74,11,0
147,76,19,71,103.1,6,0
45,22,5,23,28.97,8,0
47,16,8,31,39.73,7,0
47,16,8,31,39.73,7,0
34,14,8,20,26.98,2,0
80,44,14,36,51.15,6,0
79,44,14,35,50.47,5,0
143,72,10,71,100.18,2,0
30,15,2,15,19.52,5,0
56,31,14,25,39.55,7,0
68,37,16,31,47.81,6,0
62,35,16,27,43.22,6,0
62,33,15,29,42.92,7,0
64,37,15,27,41.99,6,0
52,29,13,23,34.65,6,0
65,35,15,30,45.98,6,0
59,33,12,26,39.44,5,0
56,31,14,25,37.14,7,0
59,33,14,26,38.97,7,0
66,35,15,31,46.63,7,0
59,32,15,27,39.72,7,0
62,34,16,28,41.55,7,0
61,35,15,26,40.16,6,0
64,37,16,27,41.99,6,0
64,37,15,27,41.99,6,0
127,67,28,60,87.74,11,0
73,38,10,35,52.78,7,0
30,15,2,15,19.52,5,0
115,59,25,56,78.8,11,0
73,36,12,37,52.02,3,0
35,14,4,21,34.17,2,0
35,12,3,23,35.54,1,0
36,14,5,22,34.97,2,0
37,14,3,23,35.63,1,0
41,19,6,22,35.43,2,0
38,14,3,24,36.39,2,0
34,12,3,22,34.77,2,0
29,10,4,19,31.15,2,0
39,15,6,24,30.32,9,0
91,47,10,44,64.78,5,0
48,17,8,31,40.45,8,0
50,23,6,27,34.02,9,0
119,51,16,68,89.4,13,0
16,4,0,12,19.12,3,0
