rotatablebondCount,acceptorCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,label
1,2,23,19,30.48,3,1
1,4,13,20,30.67,1,1
0,5,7,14,21.59,1,1
10,5,29,25,40.92,1,1
4,5,11,19,29.59,0,1
3,10,17,30,44.99,2,1
3,2,18,20,31.95,0,1
4,2,20,20,32.18,0,1
4,9,37,43,63.11,5,1
7,7,26,29,45.07,1,1
6,2,21,19,31.32,0,1
12,12,40,36,51.8,4,1
7,4,23,22,34.25,0,1
9,8,27,29,46.15,0,1
5,6,24,30,44.67,3,1
2,3,11,11,16.73,0,1
3,7,16,19,31.33,1,1
4,10,25,33,47.23,3,1
5,12,29,39,52.96,3,1
6,5,22,28,40.56,2,1
6,3,19,21,35.72,0,1
2,2,16,12,19.77,0,1
10,7,28,27,39.92,1,1
0,3,15,19,28.65,2,1
3,4,13,13,19.27,0,1
4,9,35,43,63.02,5,1
7,14,67,51,76.02,3,1
0,2,24,20,31.34,3,1
0,2,22,20,30.93,3,1
6,6,12,19,28.76,0,1
0,1,6,3,5.04,0,1
1,2,24,22,33.93,3,1
3,6,10,16,25.57,1,1
5,13,32,42,56.06,5,1
6,7,19,25,38.35,1,1
7,5,21,25,38.46,0,1
6,3,28,25,40.4,1,1
10,5,39,37,58.05,1,1
9,11,20,28,33.11,1,1
5,7,12,22,27.14,2,1
0,4,3,9,9.82,1,1
7,5,18,22,30.41,0,1
0,4,29,24,35.56,4,1
7,8,26,30,43.85,2,1
6,6,23,27,41.04,1,1
3,3,13,18,27.19,0,1
15,8,47,41,59.41,3,1
3,3,17,12,18.93,1,1
4,8,22,27,37.16,2,1
2,8,11,18,20.69,2,1
6,3,22,18,28.26,0,1
7,9,28,33,50.47,1,1
2,4,24,23,36.34,3,1
3,7,22,26,36.35,2,1
2,6,8,14,21.96,0,1
3,4,22,14,22.94,1,1
6,5,23,26,39.78,1,1
2,5,30,26,38.55,4,1
0,4,19,21,30.57,4,1
4,2,18,15,23.92,0,1
9,4,32,26,40.28,2,1
7,8,31,37,57.59,3,1
4,2,24,21,34.72,1,1
12,9,47,45,69.04,3,1
4,5,16,25,37.98,0,1
7,6,28,32,49.3,2,1
1,4,7,10,14.22,1,1
4,4,17,15,22.95,0,1
11,11,38,49,72.13,4,1
2,3,16,16,26.15,1,1
7,9,28,36,53.74,3,1
4,3,14,19,28.34,0,1
2,6,11,15,21.49,2,1
1,7,7,16,25.02,1,1
6,7,14,25,34.32,2,1
14,5,40,31,48.87,1,1
2,2,25,21,33.87,3,1
3,4,14,12,17.45,1,1
5,5,29,31,46.19,2,1
3,5,11,14,19.44,0,1
0,2,23,19,30.42,3,1
5,3,22,17,27.75,0,1
0,6,6,12,22.46,1,1
3,4,26,25,39.96,2,1
7,5,33,34,54.4,1,1
1,6,10,21,31.51,1,1
8,6,23,30,46.49,2,1
7,5,36,29,44.68,3,1
0,4,18,23,35.69,2,1
12,8,31,29,43.22,1,1
4,1,23,21,34.66,2,1
8,8,29,23,33.71,0,1
1,4,13,20,30.36,2,1
1,1,21,12,21.09,2,1
1,3,32,25,39.12,4,1
4,3,16,17,26.69,0,1
0,1,21,13,22.2,3,1
4,4,26,26,44.39,2,1
7,2,27,23,38.31,0,1
1,8,8,14,21.17,1,1
9,13,22,33,43.98,2,1
4,4,17,15,23.06,0,1
4,3,19,17,26.7,1,1
4,4,27,26,41.19,2,1
7,6,22,20,31.91,0,1
6,6,14,25,40.35,1,1
1,4,13,23,34.21,2,1
3,3,35,32,50.2,4,1
2,4,9,16,22.62,2,1
1,5,15,15,21.13,2,1
14,5,38,27,42.63,1,1
0,4,19,21,30.74,4,1
2,5,12,17,23.64,2,1
2,5,21,24,34.64,4,1
2,5,23,25,36.0,5,1
4,4,25,23,38.72,1,1
10,6,32,33,50.92,2,1
10,8,45,40,63.82,2,1
11,9,29,35,50.55,1,1
1,2,14,12,19.58,2,1
6,8,18,25,33.98,1,1
10,9,26,30,42.03,1,1
8,8,24,28,39.47,1,1
7,8,20,26,35.81,1,1
1,2,26,22,34.14,4,1
3,7,18,23,31.66,2,1
2,2,28,23,35.98,4,1
3,1,21,20,33.41,1,1
9,13,36,44,61.39,1,1
2,8,20,26,35.34,3,1
0,5,20,22,34.49,2,1
5,4,23,25,38.58,1,1
5,8,24,27,42.41,2,1
5,5,19,24,37.53,2,1
2,3,21,22,33.15,3,1
6,2,23,20,33.09,0,1
4,12,44,41,57.02,6,1
0,3,30,22,34.33,4,1
3,3,24,19,30.28,1,1
14,15,51,62,87.66,4,1
6,5,21,25,38.51,1,1
4,5,20,24,34.52,2,1
2,7,16,19,25.07,3,1
